rep_id,member_id,cluster_size
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,1
WWU04178.1|paramyxo_SH|SRC:NCBI,WWU04178.1|paramyxo_SH|SRC:NCBI,1
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,1
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,1
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,1
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,1
XHB07679.1|paramyxo_SH|SRC:NCBI,XHB07679.1|paramyxo_SH|SRC:NCBI,1
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,3
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,3
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,3
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,1
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,2
tr|paramyxo_SH|SRC:UniProt,UQM99554.1|paramyxo_SH|SRC:NCBI,2
WJL29494.1|paramyxo_SH|SRC:NCBI,WJL29494.1|paramyxo_SH|SRC:NCBI,1
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,2
tr|paramyxo_SH|SRC:UniProt,WPV62554.1|paramyxo_SH|SRC:NCBI,2
XBN89666.1|paramyxo_SH|SRC:NCBI,XBN89666.1|paramyxo_SH|SRC:NCBI,2
XBN89666.1|paramyxo_SH|SRC:NCBI,WJL29512.1|paramyxo_SH|SRC:NCBI,2
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,1
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,3
tr|paramyxo_SH|SRC:UniProt,WPF45712.1|paramyxo_SH|SRC:NCBI,3
tr|paramyxo_SH|SRC:UniProt,WGF23674.1|paramyxo_SH|SRC:NCBI,3
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,6
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,6
tr|paramyxo_SH|SRC:UniProt,XFO97534.1|paramyxo_SH|SRC:NCBI,6
tr|paramyxo_SH|SRC:UniProt,WPF45799.1|paramyxo_SH|SRC:NCBI,6
tr|paramyxo_SH|SRC:UniProt,WGF23445.1|paramyxo_SH|SRC:NCBI,6
tr|paramyxo_SH|SRC:UniProt,UCZ37567.1|paramyxo_SH|SRC:NCBI,6
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,1
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,2
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,2
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,9
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,9
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,9
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,9
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,9
tr|paramyxo_SH|SRC:UniProt,tr|paramyxo_SH|SRC:UniProt,9
tr|paramyxo_SH|SRC:UniProt,XXQ18334.1|paramyxo_SH|SRC:NCBI,9
tr|paramyxo_SH|SRC:UniProt,XXM94793.1|paramyxo_SH|SRC:NCBI,9
